Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,TotalScreenTime,ConsumptionScore,AirTravelScore,TravelIntensity,WasteSizeScore,WasteScore,Glass,Plastic,Metal,Paper,Oven,Microwave,Grill,Airfryer,Stove
overweight,female,pescatarian,daily,coal,public,,often,0.7228915662650602,frequently,0.021002100210021003,large,4,7,0.52,1,No,2238,8,1.2428915662650604,0.6666666666666666,0.6876687668766877,3,12,0,0,1,0,1,0,0,0,1
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,0.2570281124497992,rarely,0.0009000900090009002,extra large,3,9,0.76,5,No,1892,14,1.017028112449799,0.3333333333333333,0.3342334233423342,4,12,0,0,1,0,0,1,0,0,1
overweight,male,omnivore,more frequently,wood,private,petrol,never,0.35341365461847385,never,0.24722472247224722,small,1,14,0.9400000000000001,6,Sometimes,2595,20,1.2934136546184738,0.0,0.24722472247224722,1,1,0,0,1,0,1,1,0,0,0
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,0.42971887550200805,rarely,0.007400740074007401,medium,3,20,0.1,7,Sometimes,1074,27,0.529718875502008,0.3333333333333333,0.34073407340734074,2,6,1,1,1,1,0,1,1,1,0
obese,female,vegetarian,daily,coal,private,diesel,often,0.8674698795180723,very frequently,0.8457845784578458,large,1,3,0.1,6,Yes,4743,9,0.9674698795180723,1.0,1.8457845784578457,3,3,0,0,0,1,1,0,0,0,0
overweight,male,vegetarian,less frequently,wood,public,,sometimes,0.3775100401606426,frequently,0.06580658065806581,large,1,22,0.36,9,Sometimes,1647,31,0.7375100401606426,0.6666666666666666,0.7324732473247324,3,3,1,0,1,1,1,1,0,0,1
underweight,female,vegan,less frequently,wood,private,hybrid,never,0.02409638554216867,rarely,0.5363536353635364,medium,4,9,0.22,19,Sometimes,1832,28,0.24409638554216867,0.3333333333333333,0.8696869686968698,2,8,0,0,0,0,0,0,1,1,0
underweight,female,vegan,more frequently,coal,walk/bicycle,,sometimes,0.03614457831325302,very frequently,0.0054005400540054005,extra large,3,5,0.78,15,No,2322,20,0.816144578313253,1.0,1.0054005400540054,4,12,1,1,0,1,0,1,0,0,1
overweight,male,omnivore,daily,wood,public,,never,0.6024096385542168,frequently,0.13761376137613762,medium,3,3,0.62,15,Yes,2494,18,1.222409638554217,0.6666666666666666,0.8042804280428042,2,6,1,0,0,0,0,1,1,1,0
underweight,female,pescatarian,daily,wood,public,,often,0.3413654618473896,rarely,0.04400440044004401,extra large,1,8,0.46,18,Sometimes,1178,26,0.8013654618473895,0.3333333333333333,0.3773377337733773,4,4,1,0,0,0,0,1,1,1,0
normal,female,vegetarian,more frequently,wood,public,,never,0.3855421686746988,never,0.1561156115611561,extra large,4,12,0.54,21,No,1427,33,0.9255421686746989,0.0,0.1561156115611561,4,16,0,1,0,1,0,1,0,0,1
obese,male,vegetarian,more frequently,coal,walk/bicycle,,never,0.24497991967871482,very frequently,0.006900690069006901,medium,5,9,0.08,4,Sometimes,3226,13,0.3249799196787148,1.0,1.006900690069007,2,10,0,0,0,0,1,1,0,0,1
underweight,female,omnivore,twice a day,coal,walk/bicycle,,often,0.2570281124497992,rarely,0.009200920092009202,large,3,18,0.54,4,Yes,1593,22,0.7970281124497992,0.3333333333333333,0.3425342534253425,3,9,0,1,0,0,0,0,0,0,1
underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,0.24497991967871482,rarely,0.2893289328932893,large,6,13,0.32,10,Sometimes,1732,23,0.5649799196787149,0.3333333333333333,0.6226622662266226,3,18,1,1,1,0,1,1,1,1,1
obese,male,pescatarian,less frequently,natural gas,public,,often,0.2931726907630522,rarely,0.19891989198919893,small,6,13,0.46,8,No,1743,21,0.7531726907630523,0.3333333333333333,0.5322532253225323,1,6,0,1,1,1,1,0,0,0,1
overweight,female,vegetarian,less frequently,electricity,public,,never,0.7028112449799196,very frequently,0.06920692069206921,small,6,9,0.48,15,No,2101,24,1.1828112449799195,1.0,1.0692069206920691,1,6,1,1,1,1,1,0,0,0,1
normal,male,pescatarian,more frequently,electricity,walk/bicycle,,often,0.678714859437751,frequently,0.0007000700070007,extra large,4,23,0.84,14,Sometimes,2609,37,1.5187148594377509,0.6666666666666666,0.6673667366736673,4,16,0,0,0,0,1,1,1,1,0
overweight,female,pescatarian,daily,wood,public,,often,0.21686746987951808,rarely,0.09480948094809481,large,6,1,0.12,22,Yes,1565,23,0.3368674698795181,0.3333333333333333,0.42814281428142814,3,18,0,0,0,1,0,0,1,1,1
underweight,male,vegan,more frequently,electricity,private,petrol,often,0.30522088353413657,very frequently,0.7622762276227623,medium,2,6,0.74,9,Sometimes,5272,15,1.0452208835341366,1.0,1.7622762276227624,2,4,0,0,0,0,0,0,0,0,1
normal,female,omnivore,more frequently,wood,walk/bicycle,,often,0.9558232931726908,never,0.0051005100510051,small,4,15,0.44,6,No,1220,21,1.3958232931726908,0.0,0.0051005100510051,1,4,1,0,1,1,1,0,0,0,1
normal,male,vegan,twice a day,electricity,private,electric,often,0.931726907630522,rarely,0.22372237223722374,large,6,0,0.16,5,No,1300,5,1.091726907630522,0.3333333333333333,0.5570557055705571,3,18,1,1,1,0,1,0,1,1,0
obese,female,pescatarian,less frequently,wood,public,,never,0.07630522088353411,rarely,0.18041804180418042,large,1,6,0.06,7,No,1024,13,0.1363052208835341,0.3333333333333333,0.5137513751375138,3,3,0,0,1,0,1,1,0,0,1
overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,0.24096385542168672,never,0.008500850085008501,small,3,14,0.08,3,Sometimes,706,17,0.3209638554216867,0.0,0.008500850085008501,1,3,1,1,1,1,1,1,1,1,1
obese,male,vegetarian,daily,coal,private,diesel,often,0.4618473895582329,frequently,0.047204720472047206,small,4,17,0.48,20,Yes,2582,37,0.9418473895582329,0.6666666666666666,0.7138713871387138,1,4,1,0,0,1,0,1,0,0,0
overweight,male,vegan,daily,coal,private,diesel,sometimes,0.048192771084337366,very frequently,0.5737573757375738,medium,1,5,0.4,20,Yes,4284,25,0.4481927710843374,1.0,1.5737573757375738,2,2,0,0,1,1,0,0,1,1,0
obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,0.17670682730923695,rarely,0.0088008800880088,medium,6,17,0.0,3,Sometimes,807,20,0.17670682730923695,0.3333333333333333,0.3421342134213421,2,12,0,1,1,1,1,1,1,1,1
underweight,female,vegan,daily,electricity,public,,often,0.8393574297188754,frequently,0.05580558055805581,large,4,4,1.0,23,Sometimes,1991,27,1.8393574297188753,0.6666666666666666,0.7224722472247225,3,12,0,0,1,0,1,0,1,1,0
obese,male,vegetarian,less frequently,electricity,public,,sometimes,0.0682730923694779,rarely,0.07520752075207521,large,3,14,0.74,14,Sometimes,1817,28,0.8082730923694779,0.3333333333333333,0.4085408540854085,3,9,0,1,0,0,0,0,0,0,1
obese,male,pescatarian,daily,wood,walk/bicycle,,never,0.321285140562249,rarely,0.007100710071007101,small,2,10,0.3,10,No,1490,20,0.621285140562249,0.3333333333333333,0.3404340434043404,1,2,1,0,0,0,1,0,1,1,0
